,start_station_id,start_lat,start_lng,borough,zip
20255,5406.02,40.71850211,-73.98329859,Manhattan,10002
20548,8187.04,40.838356614,-73.935985446,Manhattan,10032
21128,8085.09,40.832314000000004,-73.94102,Manhattan,10032
21136,8262.07,40.842957497,-73.93877542,Manhattan,10032
21430,8543.01,40.861220479,-73.921449423,Manhattan,10034
21461,7571.01,40.79558,-73.91906,Manhattan,10035
22024,8547.04,40.862058000000005,-73.92971899999999,Manhattan,10040
23138,7286.05,40.781715155,-73.945863962,Manhattan,10128
23140,6839.04,40.763025942805186,-73.97209525108337,Manhattan,10022
23325,8358.03,40.849977374,-73.938099623,Manhattan,10033
23497,5137.13,40.710323100000004,-74.0043228,Manhattan,10038
24127,6991.12,40.771142244,-73.957679868,Manhattan,10021
24719,6904.06,40.766368,-73.971518,Manhattan,10035
24877,7625.18,40.800471663,-73.941915512,Manhattan,10035
25098,7450.05,40.794987899999995,-73.9333349,Manhattan,10035
25263,6795.01,40.76341379,-73.99667444,Manhattan,10036
25698,8353.02,40.847455025,-73.931254625,Manhattan,10040
25764,8104.10,40.832081,-73.942386,Manhattan,10032
25851,8432.11,40.853187588619754,-73.92715752124786,Manhattan,10040
26017,8138.07,40.834464192,-73.939907432,Manhattan,10032
26938,7563.06,40.796986222,-73.93714129899999,Manhattan,10035
27130,8191.01,40.839137,-73.941409,Manhattan,10032
27143,8353.09,40.84925,-73.93021999999999,Manhattan,10033
27761,7696.07,40.805650711,-73.934027433,Manhattan,10035
29311,8507.02,40.858865976,-73.92308688199999,Manhattan,10034
29675,7925.04,40.819993376999996,-73.959190965,Manhattan,10115
29748,7692.11,40.8067581,-73.9607082,Manhattan,10027
29750,7580.01,40.797372100000004,-73.97041192,Manhattan,10025
29751,7052.01,40.771661282,-73.982690096,Manhattan,10107
29918,7514.01,40.793459999999996,-73.92389,Manhattan,10454
30470,8474.02,40.856468678,-73.932925344,Manhattan,10040
30810,8491.07,40.857164621,-73.92722010600001,Manhattan,10040
30891,8583.02,40.86308825,-73.92708993,Manhattan,10040
31340,7915.11,40.820681,-73.945144,Manhattan,10030
31341,6459.07,40.752719402,-74.002572894,Manhattan,10001
31343,5436.09,40.72082834,-73.97793172,Manhattan,10009
31344,7851.04,40.815484000000005,-73.935856,Manhattan,10037
31348,7128.08,40.773763,-73.96222088,Manhattan,10021
32805,6398.08,40.74848023448579,-73.98255586624146,Manhattan,10016
34203,8153.10,40.835798,-73.937496,Manhattan,10032
37249,8636.04,40.867357,-73.92936,Manhattan,10034
48784,8715.01,40.872412,-73.912807,Manhattan,10034
49917,8049.05,40.826881,-73.941427,Manhattan,10031
54026,8496.01,40.856966971999995,-73.935655355,Manhattan,10040
57398,8563.06,40.861440778,-73.925523758,Manhattan,10040
58502,8416.10,40.852360845,-73.931193233,Manhattan,10033
63252,4374.01,40.68512559515415,-74.02535319328308,Manhattan,10004
71049,8278.05,40.844044,-73.933651,Manhattan,10033
73287,8206.17,40.839443,-73.937044,Manhattan,10032
80839,4440.02,40.687065798759114,-74.01675585121666,Manhattan,10004
85969,7876.07,40.81900581806558,-73.94476890563966,Manhattan,10030
88135,8732.04,40.873057961,-73.918190002,Manhattan,10034
103036,8696.05,40.871131659,-73.91144359100001,Manhattan,10034
104461,5368.03,40.71759894980997,-74.01587963104248,Manhattan,10282
105940,8469.05,40.85589030603889,-73.92708241939546,Manhattan,10040
254219,8632.07,40.866141,-73.922648,Manhattan,10034
